OTUId,HS1,HT1,HV1,HA2,HG2,HM2,HN2,HO2,HM3,HN3,HO3,HQ3,HR3,HS3,HT3,HV3,HL4,HM4,HQ4,HD5,HE5,HG5,HI5,HN5,HO5,HQ5,HT5,HV5,HD6,HI6,HL6,HN6,HO6,HQ6,HS6,HT6,HV6,HA7,HC7,HD7,HE7,HF7,HG7,HI7,HL7,HM7,HN7,HO7,HQ7,HR7,HS7,HT7,HV7,HA8,HC8,HD8,HE8,HF8,HG8,HJ8,HV8,HA9,HB9,HC9,HE9,HF9,HG9,HI9,HJ9,HO9,HR9,HS9,HV9,HF10,HI10,HM10,HN10,HO10,HQ10,HT10,HV10,HA11,HC11,HD11,HE11,HI11,HO11,HR11,HS11,HA12,HD12,HI12,HO12,HS12,HT12,HA13,HE13,HF13,HI13,HO13,HS13,HT13,HC14,HD14,HF14,HG14,HM14,HN14,HR14,HS14,HT14,HA15,HB15,HC15,HD15,HF15,HG15,HM15,HO15,HQ15,HR15,HT15,HA16,HC16,HD16,HF16,HI16,HJ16,HO16,HS16,HT16,HI17,HQ17,HS17,HT17,HA18,HF18,HG18,HM18,HO18,HS18,HT18,HA19,HC19,HD19,HO19,HS19,HT19,HA20,HD20,HI20,HM20,HO20,HS20,HT20,HA21,HD21,HI21,HS21,HT21,HI22,HS22,HT22,HA23,HD23,HI23,HM23,HT23,HA24,HM24,HT24,HA25,HD25,HI25,HM25,HS25,HT25,HI26,HO26,HS26,HT26,HD27,HM27,HS27,HT27,HA28,HD28,HF28,HO28,HS28,HT28,HA29,HI29,HS29,HA30,HI30,HO30,HS30,HT30,HA31,HD31,HF31,HO31,HS31,HT31,HA32,HD32,HF32,HI32,HO32,HS32,HT32,HA33,HD33,HF33,HI33,HS33,HT33,HA34,HD34,HF34,HI34,HS34,HT34,HA35,HD35,HI35,HS35,HT35,HA36,HD36,HF36,HI36,HJ36,HO36,HR36,HS36,HT36,HA37,HC37,HF37,HN37,HR37,HS37,HA38,HC38,HD38,HI38,HJ38,HN38,HO38,HR38,HS38,HT38,HA39,HC39,HD39,HF39,HJ39,HO39,HR39,HS39,HT39,HV39,HA40,HF40,HI40,HJ40,HN40,HO40,HR40,HS40,HV40,HA41,HC41,HF41,HI41,HO41,HR41,HS41,HV41,HC42,HF42,HL42,HO42,HQ42,HR42,HS42,HV42,HA43,HC43,HD43,HI43,HL43,HN43,HO43,HR43,HT43,HA44,HD44,HF44,HI44,HJ44,HN44,HO44,HS44,HT44,HV44,HA45,HC45,HD45,HI45,HQ45,HR45,HS45,HT45,HI2,HM5,HG6,HO8,HE12,HA14,HI14,HN15,HC18,HI18,HA22,HA26,HM28,HM31,HN36,HJ37,HQ38,HI39,HS43,HV43,HC44,HJ2,HL3,HJ5,HJ7,HF20,HF23,HF24,HF25,HF27,HF5,HD9,HA10,HI27,HI28,HV36,HV37,HV38,SD1,SG1,SH1,SI1,SK1,SA2,SC2,SF2,SG2,SH2,SL2,SA3,SD3,SF3,SG3,SH3,SI3,SL3,SM3,SA4,SD4,SF4,SG4,SI4,SM4,SC5,SD5,SF5,SG5,SI5,SL5,SI7,SG8,SI8,SC9,SD9,SG9,SK9,SL9,SM9,SC10,SD10,SG10,SL10,SA11,SC11,SG11,SH11,SI11,SA12,SC12,SD12,SG12,SH12,SI12,SK12,SM12,SA13,SC13,SG13,SH13,SK13,SL13,SM13,SA14,SC14,SG14,SH14,SL14,SA15,SC15,SG15,SH15,SI15,SK15,SL15,SA16,SC16,SG16,SH16,SK16,SL16,SM16,SA17,SC17,SG17,SH17,SI17,SK17,SA18,SG18,SK18,SL18,SA19,SC19,SG19,SH19,SI19,SA20,SC20,SH20,SI20,SA21,SC21,SH21,SI21,SA22,SC22,SG22,SH22,SI22,SA23,SC23,SG23,SH23,SI23,SA24,SC24,SG24,SI24,SA25,SC25,SH25,SI25,SA26,SC26,SG26,SH26,SI26,SA27,SC27,SG27,SI27,SA28,SC28,SG28,SH28,SI28,SA29,SG29,SH29,SI29,SA30,SG30,SH30,SD2,SC3,SE3,SK3,SC4,SH4,SH5,SH8,SH9,SI13,SI14,SK14,SI16,SH18,SB2,SB3,SB4,SF9,SF10,SF11,SF12,SF13,SF14,SF15,SF16,SF17,SF18,SF19,SF22,SF23,SF24,SF25
OTU_23,550,73,12,1,24,250,110,262,2,55,421,16,12,321,8,0,572,2586,1463,2313,8573,784,783,342,115,1239,407,7,9370,90,128,194,83,254,337,160,7,1741,360,405,1496,89,142,101,1719,301,172,113,1797,9,169,19,494,633,104,3238,1315,10,2,134,633,3834,407,1986,62,234,80,12,99,6,69,20,1,21,2852,886,877,319,133,4038,354,31,127,48,267,8683,18,1299,2000,151,129,25,14,880,3,7053,17713,136,85,34,226,385,18,0,9,19,198,1978,381,5284,46,4,12,127,391,948,6,16,14,10,31,19,16,102,23,203,7,4,337,995,437,2098,549,0,19,1970,11,15,7,11,18,1589,68,442,599,91,179,39,1008,2665,68,4,143,373,38,2007,8,3,4,51,6,517,25,21,150,0,47,1549,26,7,2,79,11,4,7,210,10,0,0,67,0,1,916,789,22,86,112,8,15,3,36,35,1,2,1058,155,195,304,897,11,17,17,3,12,3792,987,348,449,30,438,103,7,9,87,7,330,20,31,2356,64,528,114,11041,5552,80,1990,46,920,1808,69,171,60,25,6273,23,119,59,94,186,2,10,8,4,24,2,87,428,179,369,1075,223,12,1063,4278,15,47,23,113,79,33,180,8434,5,221,0,477,60,1339,501,90,10,222,10,14,56,1,339,99,203,1034,1354,29,52,14,37,58,57,77,2716,20,594,373,6,7983,555,273,34,53,166,313,17,0,47,7,24,170,190,367,7,19,23,5,8,7,12,17,174,1021,227,1628,6,0,115,30,190,9,2,158,7,4,742,247,0,12,18,1,336,1855,5142,143,103,9,10,88,1,0,511,2242,41,1,13,159,6,49,1,264,168,815,1715,10,78,1,7,172,1219,45,2,2,549,296,17,38,11,3,3,7,2,89,6,307,5,35,522,15,28,12,10,1,154,1,17,1358,361,78,18,1,1716,466,0,43,741,5,2794,120,1473,2,462,725,136,2164,6,27,29,433,2159,531,440,87,136,61,495,2139,2307,616,159,391,1823,2034,3306,1195,21,20,65,3227,809,3103,14,8,336,98,39,44,625,83,394,2769,1,299,145,2,0,1070,703,39,3,0,21,6,0,129,7,5,132,5,1,205,9,1017,2,0,24,8,324,3,2,6,29,8,20,15,2082,110,27,6,868,44,3,717,8,352,391,0,1996,115,81,36,4,0,71,5,36,310,736,179,815,442,2,282,79,713,458,12,1128,1,3,3,1,6,14,4,0,5,15,21,0,4,1,48,314,441,660
OTU_146,0,0,0,11,0,0,1,9,0,2,34,0,0,0,0,0,0,0,0,0,0,0,7,2,47,0,0,0,0,2,0,4,2,0,0,0,0,658,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,60,0,0,0,0,0,0,66,329,0,1,0,0,3,2,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,208,0,28,8,0,0,0,0,0,2,757,0,0,46,0,0,0,0,0,0,0,0,119,1,1,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,30,0,0,2,0,500,0,0,0,0,0,0,47,0,0,0,0,0,27,0,2,0,1,0,0,9,3,0,0,0,4,3,0,14,0,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,38,0,0,0,0,0,18,2,0,132,58,0,0,0,19,0,0,0,0,0,57,0,0,0,0,0,0,37,0,0,7,0,2,424,0,0,100,1,0,22,2,50,0,0,1,2,0,14,0,0,2,0,0,77,0,2,0,0,1,9,0,0,2,0,33,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,0,31,0,0,0,0,21,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,406,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,5,0,0,0,34,0,1,0,12,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,50,0,52,143,3,0,0,2,53,91,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,42,0,0,0,2,13,1,4,0,0,2,127,1,0,0,2,0,0,1,34,0,0,6,0,0,0,70,0,0,0,5,225,0,0,0,0,3,14,10,1,0,11,0,1,0,8,0,0,1,0,0,37,1,1,66,0,0,0,0,84,2,1,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,2,0,13,0,10,0,0,9,0,1,0,0,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1987,505,74,249,25,136,94,1802,2060,23,240,7916,856,1203,151,216,16,2601,235,3005,566,1127,2432,1045,1998,5138,4307,592,53,75,1074,159,838,1460,572,1599,142,35,9958,2561,100,576,159,237,442,100,38,779,124,1583,89,382,31,79,12,270,41,608,37,142,103,334,187,1970,402,131,216,368,84,27,69,88,199,4,10,509,198,211,230,212,852,124,57,58,22,179,1573,58,261,870,97,18,31,157,618,14,155,151,13415,543,50,5,0,9,21,51,614,280,41,1089,56,11431,41,1504,13,57,2912,111,32,62,37,519,25,83,1116,70,7,3,138,1433,766,191,880,60,113,72,2408,80,1737,20,27,87,1410,341,4325,1385,41,1762,110,576,1670,290,53,831,3093,250,304,31,741,64,144,1456,5597,467,1164,1298,29,25,1514,77,2,25,98,914,462,38,2097,1162,719,2,680,231,351,303,1717,750,991,294,11661,71,152,73,343,36,278,3237,1311,334,1151,762,824,1206,266,56,190,6905,8605,50158,1874,900,76,1546,121,479,360,419,319,296,91,3249,63,413,215,1626,815,222,1321,6,553,600,150,120,330,167,182,15,768,119,174,2960,67,1363,26,54,67,2924,3169,419,432,191,488,53,236,793,2282,109,238,127,608,30,31,962,1850,101,5046,1942,1296,86,542,48,13,405,623,753,138,53,91,872,105,434,56,822,14,11,103,94,4,5,10,56,162,3613,2433,120,1294,2984,35,478,71,305,262,6,485,39,83,28,763,88,21,157,210,52,35,29,29,37,10,238,111,320,471,237,53,1453,23,45,100,14,263,105,256,157,33,98,94,123,14,39,45,858,157,169,26,31,173,35,360,2147,29,57,13206,219,49,14,44,133,2830,350,1119,5762,1036,296,774,4655,390,8231,995,1660,1621,2257,326,152,1396,2844,263,684,876,1078,347,5153,237,51,1084,446,1491,545,2155,518,2850,699,227,4061,2613,3547,3892,124,258,5070,2633,279,298,1962,165,930,933,367,7299,1372,1945,1353,11881,2545,784,257,547,163,27685,14884,4492,601,652,535,27,15194,3002,839,1673,859,740,307,10161,608,1527,978,1368,3011,16193,7680,197,453,1261,164,1578,814,1454,2018,21110,408,283,2184,757,144,680,376,29,119,43,457,331,1029,251,250,234,1228,2389,3416,365,8436,1526,2064,425,450,3934,3822,1287,192,3030,1904,1140,1332,649,235,296,1393,142,5908,1499,99,5877,2274,2680,464,3036,5,1433,712,360,2085,328,505,1526,57,403,1600,434,432,23,3839,1539,1507,477,3081,983,829,550,9046,1993,7794,2470,1009,2455,3455,867,1549,5861,921,369,237,767,2392,3445,247
OTU_52,16,3,581,52,75,4,4,594,1,0,1237,93,14,20,7,3,120,1,1736,192,909,1898,1551,4,1939,901,22,12,13,1826,5,56,2154,12,6,33,18,12955,1,11,149,1,49,3210,2,0,1,151,199,6,6,1,65,511,0,7,865,2,81,2,1022,3880,29,9,15,14,371,5,0,59,37,1,0,16,275,65,91,32,22,492,24,10,20,4,37,3767,11,285,750,14,1,1,4,14,51,1734,45,24,1120,0,3,8,3,40,0,236,12,623,191,16,624,296,18,0,3,33,0,0,0,24,12,3,0,132,2,2,0,3,5,52,441,197,26,52,9,1832,0,634,0,30,8,338,92,29,606,1560,8,6,899,217,1293,1,57,14,6,4329,34,0,16,1,3192,19,42,33,513,18,1,284,1,0,11,779,49,1285,2,31,23,9,590,5,49,2,3,109,33,81,33,0,141,0,4,211,8,0,748,1527,3628,15,86,123,20,2,1,2,815,767,186,59,177,38,18,7,17,56,3,148,0,8,5877,12,55,871,213,614,42,1791,958,76,118,89,256,8,145,679,104,41,3,24,412,6,10,0,19,5,3,8,172,504,222,350,128,18,330,493,10,15,18,123,29,18,2021,35,7,254,0,275,267,452,129,5,1799,5,13,100,1,20,1963,20,22,14,396,0,1,8,11,1,0,1,19,3,339,1733,6,78,95,1,41,15,2333,38,1,613,12,0,4,8,3,3,14,4,10,434,1,2,0,1,365,2,844,718,1,0,17,206,2,7,1,308,0,37,1114,19,0,86,3,1,26,1,5,7,1,0,0,18,1,0,2,14,19,2359,141,927,6,12,36,280,1367,240,1679,1458,81,7,4636,108,646,2008,0,5,143,99,40,13,95,260,2,31,178,82,401,41,1,23,4406,341,122,12,835,9,10,17,1619,32,612,53,4,2,4904,66,39,46,440,0,621,2275,104,1,196,466,126,1093,9,496,18,722,87,125,2068,31,1629,62,253,38,338,5412,66,1588,314,209,275,306,13282,30,6258,1685,72,154,53,956,51,4847,55,202,139,1139,70,237,839,48,14,2117,85,1670,107,20,10,24,14,294,511,142,24,83,627,105,34,22,91,366,59,1541,18,14,238,174,8,7,126,459,29,6319,788,196,238,29,4634,349,14,115,10289,836,419,554,0,371,250,116,224,205,98,0,15,202,973,35,1667,15,14,654,110,128,139,182,557,0,2,2,2,4,48,1,0,38,4,10,0,21,283,277,5233,892,416
OTU_774,0,0,0,0,0,16,0,1,11,0,4,0,0,0,0,1,16,310,0,15,4,81,14,0,1,0,0,0,0,0,8,0,0,0,0,1,0,186,33,0,0,44,5,3,0,60,0,0,0,0,0,0,0,8,2,0,0,11,0,0,1,20,0,1,0,56,0,0,0,0,0,1,0,0,15,0,0,0,0,9,0,0,0,0,0,93,0,6,6,1,0,0,0,0,0,194,4,5,48,43,0,0,13,1,0,0,130,59,1,1,3,0,0,0,0,0,0,0,4,0,3,0,0,0,53,0,16,0,0,2,109,0,91,0,0,805,32,1,88,1,1,4,124,0,19,4,0,0,27,16,0,12,0,0,0,3,0,0,0,1,14,0,0,2,3,0,16,0,0,1,0,5,2,0,13,0,0,1,0,0,0,0,563,0,1,5,0,27,7,0,0,4,1,0,3,25,9,0,0,0,2,4,1,0,4,3,25,42,5,2,0,0,3,4,2,3,0,0,5,0,10,31,0,1,0,2,0,0,0,3,8,10,7,0,0,0,0,0,0,0,23,0,0,0,0,8,64,3,2,1,4,0,48,60,0,6,0,48,0,0,0,1,0,0,1,72,14,3,0,0,0,0,2,0,0,7,11,10,21,2,0,1,0,6,1,0,0,0,5,3,39,26,4,88,42,0,1,1,1,13,0,0,0,0,1,9,3,0,4,5,6,10,1,0,0,0,13,133,3,2,0,0,2,5,29,0,0,1,2,4,1,0,0,4,1,0,39,1,0,0,0,76,28,23,22,1,978,0,3,60,4,0,0,7,2,29,2,167,8,1,0,11,19,1,3,0,0,7,9,0,11,4,3,1,0,5,6,40,5,0,0,2,4,413,8,212,7,116,0,1,12,2,0,9,0,0,54,9,0,0,7,0,3,0,0,0,0,0,19,1,1,0,0,0,0,0,0,5,2,0,0,0,3,0,1,0,5,14,3,2,0,0,0,1,0,11,26,0,0,0,0,1,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,6,1,1,0,5,5,4,0,0,20,27,4,0,0,4,6,0,4,0,20,0,1,4,58,0,12,2,0,63,0,0,2,0,61,0,3,1,18,2,6,0,0,1,0,0,1,28,13,1,5,0,0,0,0,41,30,0,5,0,0,1,4,0,0,1,13,3,2,1
OTU_398,0,0,0,6,9,0,0,1,0,0,0,9,0,0,0,0,1,0,95,6,0,143,9,0,0,5,0,0,1,3,2,0,0,9,4,0,0,367,1,0,0,0,0,34,0,0,0,0,30,0,0,0,0,67,0,0,0,0,2,0,0,206,0,0,0,0,7,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,4,1,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,1,0,9,69,2,18,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,5,0,0,0,1,0,4,1,0,0,0,2,0,0,0,1,0,0,11,2,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,17,0,0,10,2,0,5,0,0,1,0,0,2,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,11,19,6,0,0,1,2,0,3,3,0,0,9,0,2,2,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,27,0,0,0,0,8,0,0,0,9,0,0,0,26,6,0,0,0,0,1,2,1,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,35,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,2,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,7,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU_1039,173,0,0,97,0,6,636,71,0,106,346,0,165,2,0,0,10,3,7,13,20,10,13,766,66,2,2,1,3,2,52,692,46,1,2,0,2,35885,17,2,0,0,1,4,5,0,43,6,9,2,4,0,0,20,0,1,6,2,1,0,504,338,1,0,0,1,0,0,0,1,6,4,13,1,185,5,2,0,0,9,0,1,2,0,1,25,0,2,117,1,0,0,0,0,0,844,11,1,1,3,0,0,1,7,2,6,0,94,179,1,0,0,0,0,0,3,1,0,0,2,1,7,0,2,1,0,0,32,4,5,120,4,3,0,0,402,1,1,0,10,3,2,74,2,2,62,5,0,21,1,0,3,39,52,0,280,0,8,0,1,0,10,0,511,4,0,0,1,57,0,1,197,0,0,0,44,346,0,2,17,1,0,1,95,0,37,1,0,33,4,2,37,0,12,985,0,107,26,1,30,4,1,23,10,44,564,8,10,1,30,22,0,143,16,0,4,4,0,84,13,0,33,83,106,2,219,1,11,20,63,79,1,223,28,15,41,2,0,282,13,6,16,21,5,13,4,0,0,1,255,129,12,12,1,34,7,0,0,0,21,155,32,0,0,0,2,0,2,784,5,143,7,1,95,0,0,0,140,16,1,0,1,0,18,35,0,0,1,4,2,49,39,1,81,112,5,36,53,56,0,0,0,0,5,16,29,1,2,5,4,2,0,0,0,1,5,4,12,1,39,1,1,2,26,2,0,0,172,0,0,694,0,0,0,7,0,2,3,73,32,1,1,0,0,3,0,10,0,13,0,0,0,8,0,2,18,819,225,0,738,41,2,7,0,2,450,6,3,15,0,70,0,25,156,0,0,3,88,3,5,0,7,16,125,1,340,21,14,5,20,86,0,0,3,0,0,0,0,52,5,8,0,2,97,11,5,31,2,24,0,2,119,1,14,0,0,0,2,99,14,11,0,0,138,32,57,5,2,2,0,69,52,28,9,1,8,0,36,75,12,0,26,4,81,216,0,14,44,10,4,4,57,63,0,1,0,52,2,73,0,32,4,6,3,1,215,7,4,59,15,23,2,43,11,45,4,54,22,29,1,3,175,3,20,10,126,0,278,42,1,444,15,0,27,0,103,6,8,0,9,24,12,0,9,0,2,0,4,70,18,1,48,0,0,0,0,11,2,1,1,0,4,4,9,0,2,1,12,24,10,4
OTU_46,163,8,1,261,32,73,569,582,47,115,1678,185,299,1,1,24,125,2896,17909,856,1591,787,8223,665,6,4128,47,18,7118,845,105,638,126,504,20,8,21,28252,1964,577,826,140,28,391,2,96,49,11,2444,7,20,0,7,61,69,16,992,50,31,31,1528,225,26,124,1,144,72,22,55,16,7,72,10,27,1172,44,22,17,185,140,12,1,2,2,15,2476,2,787,2640,7,279,8,59,30,7,3814,15502,1,1314,119,125,147,20,6,2,98,84,19500,252,4464,7,14,21,224,10,561,12,1,13,133,13,2,15,82,211,64,9,16,171,17,2872,120,27,54,4,4857,100,23,2,16,43,87,4511,200,396,29,51,0,2399,1417,62,32,69,93,16,4611,4,1,2,9,3204,55,13,615,230,61,32,58,164,1,1,170,148,426,29,172,362,12,35,22,55,3,914,169,28,54,302,321,64,4,2,148,10,17,2812,1669,161,143,16,158,73,40,4,7,160,791,386,608,620,128,17,0,167,17,44,115,0,6,3725,19,712,1528,3367,931,240,1392,521,220,94,122,95,147,730,5610,13,71,53,33,1354,13,144,32,6,76,40,628,531,1050,310,836,1039,9,285,228,46,751,171,352,43,519,593,158,0,6,1,1340,8559,1123,69,75,149,33,6,206,105,161,11282,122,145,794,427,13,58,59,110,43,70,56,1927,30,1500,689,18,1836,679,166,264,73,741,230,34,65,41,5,7,66,161,286,22,73,13,7,1,41,5,12,3410,507,59,244,49,10,5,32,200,62,3,260,2,78,3393,84,5,564,13,3,104,754,780,39,88,34,25,439,96,1,871,160,13,3319,38,11,5,28,25,1258,738,713,23,3954,649,472,814,292,27,2390,66,212,1751,181,146,47,98,434,4,593,394,855,80,543,5,247,438,17,1,10,228,15,107,476,880,3,3,107,44,73,1279,74,245,829,1012,7,2287,3396,1638,1876,1371,217,457,68,310,2124,167,797,914,25,48,497,2863,1079,1028,1117,68,8829,1036,452,132,714,1838,160,4509,93,385,1248,13,71,399,439,657,311,99,365,89,1363,779,106,1295,418,268,504,280,4271,708,30,40,252,65,329,1463,2529,45,390,663,205,206,94,1209,1088,242,6577,62,1234,1326,703,78,114,775,3371,134,132,2367,1316,1398,19,1117,1127,156,897,607,1251,906,2780,56,260,157,1045,1808,309,165,337,1245,1307,70,537,239,527,1,1196,1026,1114,23,57,262,356,915,188,1033,1157,536,2374,1492,197,2767,3250,496,2,62,736,1220,800,1515
OTU_43,21,4,7,784,0,11,285,77,0,16,867,24,30,2,1,20,0,2,500,617,2159,26,838,201,2189,133,26,6,91,137,3,66,314,377,5,25,6,11989,332,14,24,0,10,282,2,0,75,160,92,6,17,12,13,149,20,14,48,1,0,12,282,435,44,0,5,2,22,9,42,113,101,11,23,16,100,28,17,17,23,157,37,45,8,4,12,1189,19,61,867,17,2,31,42,23,116,464,38,56,1025,0,17,4,18,536,5,1,2,502,49,17,776,80,32,3,22,20,5,0,2,19,206,20,3,190,1,9,2,18,22,55,1604,100,2,188,13,15863,4,2,0,69,7,237,1079,104,133,8487,13,5,165,90,139,1,358,38,16,279,36,5,4,35,795,11,9,138,350,73,6,137,23,0,8,13038,43,549,1,24,120,701,1037,10,76,0,1,35,67,111,45,6,252,1,19,212,26,14,312,1010,1136,22,80,167,33,3,56,0,483,249,91,6,1050,100,30,19,59,35,4,198,2,4,209,4,9,201,55,90,15,286,21,38,20,76,60,12,195,60,112,55,6,26,253,6,30,16,1068,59,55,35,185,496,103,995,1024,130,359,500,39,47,38,30,2,85,331,23,3,5,23,39,285,109,9304,7,516,13,51,109,4,1,577,167,4,28,47,4,8,0,54,0,5,4,65,3,100,57,12,39,48,57,49,2,317,899,0,50,3,34,53,21,16,21,25,7,11,5,7,24,4,15,484,2,2,6041,13,10,8,76,100,31,0,136,2,175,166,1,0,134,2,1,21,83,2,8,5,3,2,24,0,0,2,6,93,4320,92,11,9,15,10,36,1069,336,5,242,544,34,33,28,16,167,0,93,36,40,29,20,9,53,3,39,4,2,36,956,4,37,8,129,7,953,44,18,2,140,76,0,3,51,43,32,239,1,24,466,29,0,54,141,887,1,16,14,13,0,3,39,0,29,18,1,5,5,50,12,23,9,1,93,23,33,7,30,21,3,27,930,11,139,0,29,39,15,22,22,11,339,27,148,938,29,63,1400,133,32,1810,67,501,0,18,6,145,69,398,14,15,91,87,18,24,557,97,79,62,120,41,39,179,51,650,25,77,140,132,56,31,71,121,96,172,131,2,2690,58,140,140,204,0,13,19,102,124,53,8,35,554,4,6,4370,72,10,60,151,41,111,1,126,11,27,3090,1001,1,1,14,17,7,35,27,55,13,40,3,322,37,40,29
OTU_9,424,33,17,52,17,237,870,4667,93,626,10988,482,110,13,2,13,585,3070,6667,951,6679,1199,7604,2298,45,4087,224,3,7208,672,64,3185,379,318,236,17,8,8673,320,2010,1964,203,45,172,180,116,233,29,2984,6,29,14,45,136,120,341,1872,76,10,136,532,453,73,639,17,116,94,9,28,42,23,27,15,8,608,54,50,42,58,347,36,3,15,2,20,2534,4,269,5669,17,237,11,49,459,4,3947,15931,56,709,584,422,358,164,37,31,20,33,2041,575,13259,105,11,56,171,113,2165,16,3,35,180,6,3,8,273,244,76,30,53,850,111,1809,175,168,4,3,2806,49,20,41,104,52,845,989,749,943,94,593,72,4348,3913,85,153,226,1104,284,3721,8,17,7,174,863,416,265,605,206,1,3,704,132,27,12,73,129,101,547,582,355,6,19,159,8,12,1652,2711,28,126,153,438,47,31,37,194,5,42,13831,1752,507,1098,67,224,195,199,40,46,509,772,491,1012,31,463,485,14,178,76,54,333,27,9,7106,69,630,254,12887,2602,1141,1526,166,1039,665,151,130,45,697,12112,6,49,240,52,831,4,273,48,14,138,24,1090,679,554,1785,3709,872,14,161,387,44,395,439,356,67,487,320,4054,1,12,8,2597,1375,3470,1238,203,10,217,8,81,163,25,3591,63,377,857,403,18,59,65,77,54,77,76,2171,110,822,501,18,9247,333,243,19,173,529,326,92,17,168,3,25,375,240,297,37,64,16,47,7,25,29,12,952,2973,118,94,50,8,51,13,226,30,3,177,1,37,1684,540,1,80,13,1,435,2345,3993,507,177,507,104,230,92,4,2672,313,27,396,7,9,1,48,3,699,95,208,31,3079,68,83,217,7,28,852,9,87,4266,39,22,37,32,187,3,337,164,86,101,228,2,409,584,5,1,4,357,11,17,497,318,12,16,78,4,3,3506,355,72,130,947,10,444,1513,381,123,2487,356,311,179,37,1733,101,2306,429,32,249,350,1017,429,2137,1082,632,5831,350,2630,307,394,504,783,918,38,313,602,87,327,662,171,126,474,22,262,201,749,557,1346,38,183,144,201,60,4970,1024,46,11,5,30,57,59,687,26,24,262,84,26,19,60,431,141,21,26,10,567,84,8,17,198,52,25,35,302,377,129,6,1477,185,1,254,112,47,324,381,3215,959,72,37,221,113,34,3,228,1170,42,65,103,248,11,940,156,748,278,67,580,3,3,2,0,5,55,1,1,17,7,4,0,2,31,196,2707,2073,102
